65:[(1.483144998550415, 'XCEncSettingsState'), (3.066190004348755, 'XCEncLoopState'), (3.066244125366211, 'XCEncPreRunState'), (3.072256088256836, 'XCEncRunState'), (13.061000108718872, 'XCEncFinishState'), (13.287970066070557, 'XCEncQuitState'), (13.288060188293457, 'FinalState')]
66:[(1.4862101078033447, 'XCEncSettingsState'), (3.159595012664795, 'XCEncLoopState'), (3.159656047821045, 'XCEncPreRunState'), (3.1676290035247803, 'XCEncRunState'), (13.634451150894165, 'XCEncFinishState'), (13.785022020339966, 'XCEncQuitState'), (13.785170078277588, 'FinalState')]
67:[(1.4871101379394531, 'XCEncSettingsState'), (2.675286054611206, 'XCEncLoopState'), (2.67535400390625, 'XCEncPreRunState'), (2.682892084121704, 'XCEncRunState'), (14.758350133895874, 'XCEncFinishState'), (14.978724002838135, 'XCEncQuitState'), (14.978872060775757, 'FinalState')]
68:[(1.4897990226745605, 'XCEncSettingsState'), (2.935479164123535, 'XCEncLoopState'), (2.9355361461639404, 'XCEncPreRunState'), (2.9457290172576904, 'XCEncRunState'), (13.671627044677734, 'XCEncFinishState'), (13.922015190124512, 'XCEncQuitState'), (13.922129154205322, 'FinalState')]
69:[(1.49517822265625, 'XCEncSettingsState'), (3.462541103363037, 'XCEncLoopState'), (3.462597131729126, 'XCEncPreRunState'), (3.466935157775879, 'XCEncRunState'), (15.177273035049438, 'XCEncFinishState'), (15.395900011062622, 'XCEncQuitState'), (15.396028995513916, 'FinalState')]
70:[(1.5014421939849854, 'XCEncSettingsState'), (3.492572069168091, 'XCEncLoopState'), (3.4926741123199463, 'XCEncPreRunState'), (3.497328996658325, 'XCEncRunState'), (13.98837423324585, 'XCEncFinishState'), (14.210273027420044, 'XCEncQuitState'), (14.210422039031982, 'FinalState')]
71:[(1.5041961669921875, 'XCEncSettingsState'), (3.1228721141815186, 'XCEncLoopState'), (3.1229259967803955, 'XCEncPreRunState'), (3.1288411617279053, 'XCEncRunState'), (13.58564019203186, 'XCEncFinishState'), (13.741054058074951, 'XCEncQuitState'), (13.741183042526245, 'FinalState')]
72:[(1.5049622058868408, 'XCEncSettingsState'), (3.668515205383301, 'XCEncLoopState'), (3.668581008911133, 'XCEncPreRunState'), (3.674098014831543, 'XCEncRunState'), (11.785381078720093, 'XCEncFinishState'), (11.990622997283936, 'XCEncQuitState'), (11.990763187408447, 'FinalState')]
73:[(1.5056231021881104, 'XCEncSettingsState'), (3.393277168273926, 'XCEncLoopState'), (3.3933441638946533, 'XCEncPreRunState'), (3.4036800861358643, 'XCEncRunState'), (12.998894214630127, 'XCEncFinishState'), (13.251718044281006, 'XCEncQuitState'), (13.251842021942139, 'FinalState')]
74:[(1.5061500072479248, 'XCEncSettingsState'), (3.2309072017669678, 'XCEncLoopState'), (3.2309632301330566, 'XCEncPreRunState'), (3.240690231323242, 'XCEncRunState'), (11.098282098770142, 'XCEncFinishState'), (11.271159172058105, 'XCEncQuitState'), (11.271268129348755, 'FinalState')]
