272:[(1.3370912075042725, 'DumpSSIMRetrieveState'), (1.7501161098480225, 'DumpSSIMState'), (133.7742040157318, 'FinalState')]
276:[(1.3512120246887207, 'DumpSSIMRetrieveState'), (2.234312057495117, 'DumpSSIMState'), (135.6493730545044, 'FinalState')]
280:[(1.3607990741729736, 'DumpSSIMRetrieveState'), (2.169650077819824, 'DumpSSIMState'), (142.08224201202393, 'FinalState')]
284:[(1.3628721237182617, 'DumpSSIMRetrieveState'), (2.343266010284424, 'DumpSSIMState'), (139.19955015182495, 'FinalState')]
288:[(1.3633770942687988, 'DumpSSIMRetrieveState'), (1.972353219985962, 'DumpSSIMState'), (135.88196206092834, 'FinalState')]
292:[(1.3637731075286865, 'DumpSSIMRetrieveState'), (3.5916190147399902, 'DumpSSIMState'), (162.23725008964539, 'FinalState')]
296:[(1.3641331195831299, 'DumpSSIMRetrieveState'), (3.83970308303833, 'DumpSSIMState'), (132.0248110294342, 'FinalState')]
300:[(1.3645031452178955, 'DumpSSIMRetrieveState'), (2.7018251419067383, 'DumpSSIMState'), (130.83302807807922, 'FinalState')]
304:[(1.3648340702056885, 'DumpSSIMRetrieveState'), (4.505900144577026, 'DumpSSIMState'), (143.21194219589233, 'FinalState')]
308:[(1.3665440082550049, 'DumpSSIMRetrieveState'), (2.2681632041931152, 'DumpSSIMState'), (128.04973220825195, 'FinalState')]
312:[(1.366868019104004, 'DumpSSIMRetrieveState'), (1.7346980571746826, 'DumpSSIMState'), (129.58362317085266, 'FinalState')]
316:[(1.3672330379486084, 'DumpSSIMRetrieveState'), (5.764552116394043, 'DumpSSIMState'), (157.10858416557312, 'FinalState')]
320:[(1.3676340579986572, 'DumpSSIMRetrieveState'), (1.8785080909729004, 'DumpSSIMState'), (139.28464317321777, 'FinalState')]
324:[(1.3680360317230225, 'DumpSSIMRetrieveState'), (2.623828172683716, 'DumpSSIMState'), (141.4704930782318, 'FinalState')]
328:[(1.369847059249878, 'DumpSSIMRetrieveState'), (1.9282310009002686, 'DumpSSIMState'), (137.33315801620483, 'FinalState')]
332:[(1.3741462230682373, 'DumpSSIMRetrieveState'), (3.823169231414795, 'DumpSSIMState'), (133.92164301872253, 'FinalState')]
336:[(1.379845142364502, 'DumpSSIMRetrieveState'), (2.0584521293640137, 'DumpSSIMState'), (140.618488073349, 'FinalState')]
340:[(1.385573148727417, 'DumpSSIMRetrieveState'), (2.7041571140289307, 'DumpSSIMState'), (147.0442190170288, 'FinalState')]
344:[(1.3886780738830566, 'DumpSSIMRetrieveState'), (1.9926562309265137, 'DumpSSIMState'), (143.18142700195312, 'FinalState')]
348:[(1.3892481327056885, 'DumpSSIMRetrieveState'), (2.33504319190979, 'DumpSSIMState'), (135.8448040485382, 'FinalState')]
