466:[(1.6923601627349854, 'DumpSSIMRetrieveState'), (2.6265811920166016, 'DumpSSIMState'), (129.62429404258728, 'FinalState')]
482:[(1.6927449703216553, 'DumpSSIMRetrieveState'), (3.2145400047302246, 'DumpSSIMState'), (144.09333610534668, 'FinalState')]
498:[(1.6944150924682617, 'DumpSSIMRetrieveState'), (3.3620340824127197, 'DumpSSIMState'), (125.97302103042603, 'FinalState')]
514:[(1.6985681056976318, 'DumpSSIMRetrieveState'), (2.507538080215454, 'DumpSSIMState'), (137.0540690422058, 'FinalState')]
530:[(1.7076001167297363, 'DumpSSIMRetrieveState'), (3.4971261024475098, 'DumpSSIMState'), (135.93270707130432, 'FinalState')]
546:[(1.710738182067871, 'DumpSSIMRetrieveState'), (2.990164041519165, 'DumpSSIMState'), (147.1217691898346, 'FinalState')]
562:[(1.71134614944458, 'DumpSSIMRetrieveState'), (2.416826009750366, 'DumpSSIMState'), (70.67204713821411, 'FinalState')]
578:[(1.7117841243743896, 'DumpSSIMRetrieveState'), (2.8647890090942383, 'DumpSSIMState'), (134.7327721118927, 'FinalState')]
594:[(1.712233066558838, 'DumpSSIMRetrieveState'), (2.193099021911621, 'DumpSSIMState'), (132.18069195747375, 'FinalState')]
610:[(1.7126600742340088, 'DumpSSIMRetrieveState'), (3.425132989883423, 'DumpSSIMState'), (163.74733209609985, 'FinalState')]
626:[(1.7142550945281982, 'DumpSSIMRetrieveState'), (3.0527570247650146, 'DumpSSIMState'), (70.27952313423157, 'FinalState')]
642:[(1.714622974395752, 'DumpSSIMRetrieveState'), (3.4448940753936768, 'DumpSSIMState'), (152.79254412651062, 'FinalState')]
658:[(1.7150161266326904, 'DumpSSIMRetrieveState'), (3.930340051651001, 'DumpSSIMState'), (166.13261914253235, 'FinalState')]
674:[(1.715475082397461, 'DumpSSIMRetrieveState'), (3.0265440940856934, 'DumpSSIMState'), (136.13471698760986, 'FinalState')]
690:[(1.7158970832824707, 'DumpSSIMRetrieveState'), (2.6023101806640625, 'DumpSSIMState'), (144.24601101875305, 'FinalState')]
706:[(1.7163000106811523, 'DumpSSIMRetrieveState'), (2.6266469955444336, 'DumpSSIMState'), (143.90470099449158, 'FinalState')]
722:[(1.71669602394104, 'DumpSSIMRetrieveState'), (2.9516069889068604, 'DumpSSIMState'), (145.46799111366272, 'FinalState')]
738:[(1.7183470726013184, 'DumpSSIMRetrieveState'), (2.632905960083008, 'DumpSSIMState'), (164.10492610931396, 'FinalState')]
754:[(1.7212181091308594, 'DumpSSIMRetrieveState'), (2.8313241004943848, 'DumpSSIMState'), (138.02156615257263, 'FinalState')]
770:[(1.725512981414795, 'DumpSSIMRetrieveState'), (3.5502769947052, 'DumpSSIMState'), (127.83148717880249, 'FinalState')]
786:[(1.7348051071166992, 'DumpSSIMRetrieveState'), (2.4038610458374023, 'DumpSSIMState'), (133.34983015060425, 'FinalState')]
802:[(1.7384121417999268, 'DumpSSIMRetrieveState'), (3.8686389923095703, 'DumpSSIMState'), (149.1145601272583, 'FinalState')]
818:[(1.7390520572662354, 'DumpSSIMRetrieveState'), (3.1190450191497803, 'DumpSSIMState'), (71.24635195732117, 'FinalState')]
834:[(1.7395861148834229, 'DumpSSIMRetrieveState'), (2.6068739891052246, 'DumpSSIMState'), (140.45882511138916, 'FinalState')]
850:[(1.740020990371704, 'DumpSSIMRetrieveState'), (2.6405529975891113, 'DumpSSIMState'), (131.58887910842896, 'FinalState')]
866:[(1.7404100894927979, 'DumpSSIMRetrieveState'), (3.6667520999908447, 'DumpSSIMState'), (131.15572810173035, 'FinalState')]
882:[(1.7408840656280518, 'DumpSSIMRetrieveState'), (2.896470069885254, 'DumpSSIMState'), (137.82532405853271, 'FinalState')]
3:[(1.7424969673156738, 'DumpSSIMRetrieveState'), (3.1912050247192383, 'DumpSSIMState'), (153.9316761493683, 'FinalState')]
19:[(1.7441771030426025, 'DumpSSIMRetrieveState'), (3.2452239990234375, 'DumpSSIMState'), (129.44427514076233, 'FinalState')]
35:[(1.7446410655975342, 'DumpSSIMRetrieveState'), (2.6701691150665283, 'DumpSSIMState'), (139.54519701004028, 'FinalState')]
51:[(1.7464179992675781, 'DumpSSIMRetrieveState'), (3.415256977081299, 'DumpSSIMState'), (137.56115102767944, 'FinalState')]
67:[(1.7494151592254639, 'DumpSSIMRetrieveState'), (3.8933660984039307, 'DumpSSIMState'), (145.53946900367737, 'FinalState')]
83:[(1.7536680698394775, 'DumpSSIMRetrieveState'), (3.186803102493286, 'DumpSSIMState'), (132.22058415412903, 'FinalState')]
99:[(1.7554399967193604, 'DumpSSIMRetrieveState'), (2.86234712600708, 'DumpSSIMState'), (155.43906497955322, 'FinalState')]
115:[(1.7585079669952393, 'DumpSSIMRetrieveState'), (2.7389471530914307, 'DumpSSIMState'), (166.04878497123718, 'FinalState')]
131:[(1.7603390216827393, 'DumpSSIMRetrieveState'), (3.149055004119873, 'DumpSSIMState'), (131.7576060295105, 'FinalState')]
147:[(1.7608580589294434, 'DumpSSIMRetrieveState'), (2.7678589820861816, 'DumpSSIMState'), (70.17974615097046, 'FinalState')]
163:[(1.7630631923675537, 'DumpSSIMRetrieveState'), (2.7701210975646973, 'DumpSSIMState'), (157.33058404922485, 'FinalState')]
179:[(1.7648861408233643, 'DumpSSIMRetrieveState'), (3.709649085998535, 'DumpSSIMState'), (178.59380102157593, 'FinalState')]
195:[(1.76668119430542, 'DumpSSIMRetrieveState'), (2.923253059387207, 'DumpSSIMState'), (128.3236701488495, 'FinalState')]
211:[(1.76839017868042, 'DumpSSIMRetrieveState'), (3.7886831760406494, 'DumpSSIMState'), (131.9138171672821, 'FinalState')]
227:[(1.7724881172180176, 'DumpSSIMRetrieveState'), (2.914170980453491, 'DumpSSIMState'), (133.51447916030884, 'FinalState')]
243:[(1.7730779647827148, 'DumpSSIMRetrieveState'), (3.2807300090789795, 'DumpSSIMState'), (135.91536712646484, 'FinalState')]
259:[(1.7735581398010254, 'DumpSSIMRetrieveState'), (2.30014705657959, 'DumpSSIMState'), (131.17564606666565, 'FinalState')]
275:[(1.775223970413208, 'DumpSSIMRetrieveState'), (4.207547187805176, 'DumpSSIMState'), (144.57627511024475, 'FinalState')]
291:[(1.7769780158996582, 'DumpSSIMRetrieveState'), (2.511847972869873, 'DumpSSIMState'), (70.64053201675415, 'FinalState')]
307:[(1.7775111198425293, 'DumpSSIMRetrieveState'), (4.058519124984741, 'DumpSSIMState'), (130.939532995224, 'FinalState')]
323:[(1.779280185699463, 'DumpSSIMRetrieveState'), (3.0414791107177734, 'DumpSSIMState'), (148.4931070804596, 'FinalState')]
339:[(1.7822401523590088, 'DumpSSIMRetrieveState'), (3.4018001556396484, 'DumpSSIMState'), (134.8666570186615, 'FinalState')]
355:[(1.7852940559387207, 'DumpSSIMRetrieveState'), (2.9990861415863037, 'DumpSSIMState'), (148.5948030948639, 'FinalState')]
371:[(1.7883541584014893, 'DumpSSIMRetrieveState'), (4.0319390296936035, 'DumpSSIMState'), (136.87747406959534, 'FinalState')]
387:[(1.7901771068572998, 'DumpSSIMRetrieveState'), (2.515231132507324, 'DumpSSIMState'), (70.173907995224, 'FinalState')]
403:[(1.790757179260254, 'DumpSSIMRetrieveState'), (3.5584211349487305, 'DumpSSIMState'), (139.67828512191772, 'FinalState')]
419:[(1.7912201881408691, 'DumpSSIMRetrieveState'), (2.7530629634857178, 'DumpSSIMState'), (72.73866510391235, 'FinalState')]
435:[(1.7917120456695557, 'DumpSSIMRetrieveState'), (3.4057841300964355, 'DumpSSIMState'), (175.2484359741211, 'FinalState')]
451:[(1.7921841144561768, 'DumpSSIMRetrieveState'), (2.673307180404663, 'DumpSSIMState'), (129.65705013275146, 'FinalState')]
467:[(1.792612075805664, 'DumpSSIMRetrieveState'), (3.2072620391845703, 'DumpSSIMState'), (170.66876316070557, 'FinalState')]
483:[(1.7930641174316406, 'DumpSSIMRetrieveState'), (3.2755520343780518, 'DumpSSIMState'), (130.52017617225647, 'FinalState')]
499:[(1.793572187423706, 'DumpSSIMRetrieveState'), (3.734750986099243, 'DumpSSIMState'), (148.3933460712433, 'FinalState')]
515:[(1.795302152633667, 'DumpSSIMRetrieveState'), (2.755627155303955, 'DumpSSIMState'), (137.48152804374695, 'FinalState')]
